Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/87dc6923-abdc-56ff-58d2-dd31c2addd47-eng,"Romance of the highways of California: unusual and interesting facts and stories about the Golden state","Scott, A. W., 1893-",,,"Commander Scott Productions; Griffin-Patterson Co","1945 - 1947","Glendale; Pasadena, Calif",Book,"Book::Sacramento Room: SPE 979.4 S4252 1947 CAL - Library Use Only,Book::Sutter County Main Branch: 979.4 SCO [CALIFORNIANA] - Library Use Only,Book::Carmichael California Collection: CALIFORNIA 979.4 S4252 1945 - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/6c44a4e9-7fc7-12b2-02f0-e331cbe99749-eng,"The romance of elsewhere: essays","Freed, Lynn",9781619029279,,"Counterpoint; Catapult",2017,"Berkeley, CA",eBook;Book,"Book::Central: 824.914 F853 2017 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/526f4ccb-7544-f077-3cef-cf5238d0f430-eng,"A romance on three legs: Glenn Gould's obsessive quest for the perfect piano","Hafner, Katie",9781596915244,,"Distributed to the trade by Macmillan; Bloomsbury","2008 - 2009","New York",Book,"Book::South Natomas: 786.2092 G696zh  2009 - On Shelf,Book::Central: 786.2092 G696zh 2008 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/33ee7347-6bfb-7642-3753-4027c1e7b365-eng,"The Romance of the Rose","Guillaume, de Lorris, fl. 1230",,,Dutton,1962,"New York",Book,"Book::Central: 841 R758 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/dec55431-8f94-fa3d-e48a-ae4456eb886e-eng,"Romance redux: finding love in your later years","Stassi, Laura",9781538168851,,"Rowman & Littlefield",2022,Lanham,Book,"Book::Arcade: 306.73 S796 2022 - On Shelf,Book::Carmichael: 306.73 S796 2022 - On Shelf,Book::Central: 306.73 S796 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2e325541-7df4-fe82-a01a-d2be40a2125c-eng,"Romance is my day job: a memoir of finding love at last","Bloom, Patience",9780525954385,,Dutton,2014,"New York, New York",Book,"Book::Central: 070.5 B655 2014 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8ea6fef3-8700-8e01-7b89-16b2e5fb0a35-eng,"Romance of the Grail: the magic and mystery of Arthurian myth","Campbell, Joseph, 1904-1987",9781608683246,,"New World Library",2015,"Novato, California",Book,"Book::Central: 809.93351 C188 2015 - On Shelf,Book::Rancho Cordova: 809.93351 C188 2015 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/b8d95efb-d99f-2bb4-f48c-7410b70f426d-eng,"The romance of the Milky Way and other studies and stories","Hearn, Lafcadio, 1850-1904",9783985313082,,"Houghton Mifflin; Project Gutenberg; Duke Classics; Otbebookpublishing","1905 - 2021",Boston,eBook;Book,"Book::Sacramento Room: SPE 818 H436 1905 SPE - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/9e3c180c-9d37-9d48-41e6-9a9f628f9be3-eng,"Romance and disaster","Marcus, Irv",,,"California State University",2005,"Sacramento, CA",Book,"Book::Sacramento Room: SPE 759.13 M3222 2006 SAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/e26707d9-7643-6777-3002-3689c08e6659-eng,"Romance & history of California ranchos","Garrison, Myrtle",,,"Harr Wagner Publishing Co",1935,"San Francisco",Book,"Book::Carmichael California Collection: CALIFORNIA 979.4 G242 1935 - Library Use Only,Book::Sacramento Room: SPE 979.4 G242 1935 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/2f2805d6-f481-a424-5cea-348f3607e389-eng,"Romance of the mission: decorating in the mission style","Baca, Elmo",9781586851040,,"Gibbs Smith Publisher",1996,"Salt Lake City",Book,"Book::Central: 747 B116 1996 - On Shelf,Book::Sacramento Room: SPE 747 B116 1996 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/7fd26e1d-ba8e-d1d8-8ba2-d06bef12216b-eng,"Romance of the bells: the California missions in art",,9780963546852,,"Irvine Museum",1995,"Irvine, CA",Book,"Book::Sacramento Room: SPE 758.7794 R758 1995 CAL - Library Use Only,Book::Folsom Adult: 759.194 ROM 1998 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/45830e94-763c-e199-1964-a34a618fae04-eng,"Romance and history of the Rancho del Paso",,,,,,,Book,"Book::Carmichael California Collection: CALIFORNIA 979.4 R758 1939 - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/8089d913-d8d3-aba7-cd93-9cd5040935e2-eng,"Romances & practicalities: a love story (maybe yours!) in 250 questions","Roth, Lindsay Jill",9780063339798,,"William Morrow, an imprint of HarperCollinsPublishers",2025,"New York, NY",Book,"Book::Carmichael: 646.77 R845 2025 - On Shelf,Book::Central: 646.77 R845 2025 - On Shelf,Book::Colonial Heights: 646.77 R845 2025 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/7e5dd149-ad56-ea11-b8a9-2b0167c43a95-eng,"Romance of California life: illustrated by Pacific Slope stories, thrilling, pathetic and humorous","Habberton, John, 1842-1921",,,"James T. White",1879,"San Francisco",Book,"Book::Sacramento Room: SPE fic ss Habberton CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/dc22a66a-07c3-a130-2352-aa275fcb9fc0-eng,"The romance of California","Peterson, Harry C. (Harry Claude), 1876-1941",,,"Sacramento Chamber of Commerce",1938,"[Sacramento, Calif.]",Book,"Book::Sacramento Room: 979.4 P485 1938 SAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/1aefdd9f-6f51-94ff-39f6-cc4bdefa9968-eng,"Romance de la Guardia Civil Espanola =: The ballad of the Spanish Civil Guard","García Lorca, Federico, 1898-1936",,,"Janus Press",1974,"Newark, Vt",Book,"Book::Sacramento Room: SPE 090 J35 1974g BAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/8daa8e6d-398a-6704-afcd-705e4bf84d1d-eng,"The romance of the age: or, The discovery of gold in California","Dunbar, Edward E. (Edward Ely), 1818-1871",,,"D. Appleton and Co",1867,"New York",Book,"Book::Sacramento Room: SPE 979.404 D898 1867 CAL VAU - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/5e2c1e96-db43-dbce-c600-9aeae9cb2711-eng,"The romance of the ranchos","Conner, Palmer",,,"Title Insurance and Trust Company",1939,"Los Angeles",Book,"Book::Carmichael California Collection: CALIFORNIA 333.16 C752 1939 - Library Use Only,Book::Sacramento Room: SPE 333.16 C752 1939 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/7c40080b-d8da-b826-2ee9-4e7c46f16923-eng,"The romance of the book",,9780913559284,,"Birch Brook Pr",1995,"Delhi, N.Y",Book,"Book::Sacramento Room: SPE 028.8 R758 1995 BAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/6d57a19e-c72c-4596-174c-9bc60f97b6da-eng,"The romance of Tristan and Iseult",,,,"T.B. Mosher",1922,Portland,Book,"Book::Sacramento Room: SPE 090 M911 1922t BAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/e8645490-4443-8e1a-fe44-ef28d9f3c20c-eng,"A romance of steel in California","Judson Pacific-Murphy Corporation",,,,1946,"[San Francisco",Book,"Book::Sacramento Room: SPE 669.1 P117zj 1946 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/d099ab19-8277-3fdc-f2e4-f76fc406ecf3-eng,"The romance and tragedy of banking","Kane, Thomas P., 1848-1923",,,"Bankers Pub. Co",1930,"New York",Book,"Book::Central Closed Stacks - Library Use Only: REFERENCE 332.1223 K16 1930 INA - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/46abbadc-6f1e-6080-44c1-d7f4174b7cd6-eng,"The romance of the University of California","Sibley, Robert, 1881-",,,"The California Alumni Association",1932,"Berkeley, Calif",Book,"Book::Sacramento Room: SPE 378.79467 U58zs3 1932 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/c2fb973c-3137-3821-341e-b43dd1f9d6ea-eng,"The romance of the railroads entering Sacramento","Joslyn, David Lindsay, 1886-1963",,,"Railway & Locomotive Historical Society",1939,"Boston, Mass",Book,"Book::Sacramento Room: SPE 385.09794 J83 1939 SAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/01fd5690-518d-7a29-d5b9-6a244379b4de-eng,"The romance of Mokelumne Hill: a pageant of history : an extension of the narration for Mokelumne Hill outdoor pageant, California Centennial Celebration, July 3, 1948","Zumwalt, Eve Starcevich, 1911-",9780944194249,,"E.S. Zumwalt",1990,"Mokelumne Hill, CA",Book,"Book::Sacramento Room: SPE 979.444 Z94 1990 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/db5cb4bf-2b62-dfff-8700-3aa4c3a2713d-eng,"The romance of the Colorado River: the story of its discovery in 1540, with an account of the later explorations, and with special reference to the voyages of Powell through the line of the great canyons","Dellenbaugh, Frederick Samuel, 1853-1935",9780809440023,,"[Time-Life Books]",1982,"[Alexandria, Va.]",Book,"Book::Central: 979.13 D357 1982 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a2f70d07-eea6-e264-8d4f-c06bb9e1b663-eng,"Romances and epics of our northern ancestors, Norse, Celt and Teuton","Wägner, Wilhelm, 1800-1886",,,"Norrœna Society",1911,"New York; London",Book,"Book::Sacramento Room: SPE 839.5 A589 1905 v.12 SPE - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/1f54ca0f-4c68-913b-a2d1-e8fd32329533-eng,"The romance of King Arthur and his knights of the Round Table","Malory, Thomas, Sir, 15th cent",,,"Macmillan Co",1917,"New York",Book,"Book::Sacramento Room: SPE 398.2 M257r 1917 CHI - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/4a244efe-1320-72c8-3c80-b3b29d6c69a5-eng,"The romance of El Camino Real: with authentic Kaloprints attesting to the period of construction (1769-1830), the period of depletion (1835- ), and partial preservation of the historic California missions",,,,"Kaloprint Corp",1931,"Los Angeles, Calif",Book,"Book::Sacramento Room: SPE f 979.402 R758 1931 CAL VAU - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/8e502b93-46b1-b3ca-6b8e-e85535e30025-eng,"Modern romance","Ansari, Aziz, 1983-",9781594206276,,"Penguin Audio; Books on Tape; Penguin Publishing Group; Penguin Press",2015,"New York; New York, NY","eAudiobook;Audiobook - CD;eBook;Book","Book::Carmichael: 817.6 A617 2015 - On Shelf,Book::Central: 817.6 A617 2015 - On Shelf,Book::Courtland: 817.6 A617 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e684f84c-66f5-7fab-0eaf-6be8a4a71401-eng,"Promised: proper romance","Garriott, Leah",9781629726144,,"Shadow Mountain",2020,"Salt Lake City, Utah",Book,"Book::Elk Grove: FICTION Garriott, L. - Checked Out,Book::South Natomas: FICTION Garriott, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/91b7e542-9b01-2a08-e38c-0e8c77aeca0a-eng,"How to write romantasy: blending fantasy and romance into one heart-stopping adventure","Moreci, Jenna",9780593837467,,"Ten Speed Press; Clarkson Potter/Ten Speed; Books on Tape",2025,California,eAudiobook;Book;eBook,"Book::Central New Books - 4th Floor: 808.38766 M837 2025 - On Shelf,Book::Colonial Heights: 808.38766 M837 2025 - Checked Out,Book::Franklin: 808.38766 M837 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3d386b4a-4d66-b9ad-e86f-6581f6fbd7db-eng,"A fine romance: a memoir","Bergen, Candice, 1946-",9781476746098,,"Simon & Schuster Audio; Center Point Large Print; Simon & Schuster",2015,"New York; Thorndike, Maine","eAudiobook;Large Print;Book;eBook","Book::Arcade: 791.43028 B495f 2015 - On Shelf,Book::Belle Cooledge: 791.43028 B495f 2015 - On Shelf,Book::Elk Grove: 791.43028 B495f 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/81eee2d3-49f1-7040-6931-fcc0188c65d9-eng,"Grand slam romance: Book 1","Hicks, Ollie",9781419758010,,Abrams,2023,"New York, NY","Graphic Novel/Manga","Graphic Novel/Manga::Central: GRAPHIC NOVEL Grand Slam bk.1 - On Shelf,Graphic Novel/Manga::Colonial Heights: GRAPHIC NOVEL Grand Slam bk.1 - On Shelf,Graphic Novel/Manga::McClatchy: GRAPHIC NOVEL Grand Slam bk.1 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/3209a53e-4dcd-b79c-37d6-97010d7a427b-eng,"Camus, a romance","Hawes, Elizabeth, 1940-",9780802118899,,"Grove Press; Grove Atlantic","2009 - 2010","New York, NY",eBook;Book,"Book::Central: 848.914 C211zh 2009 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/83417b67-7a34-c5e2-a301-35541242c2ba-eng,"The romance writer's handbook","Vinyard, Rebecca",9780871162045,,"Writer Books",2004,"Waukesha, Wis",Book,
https://catalog.saclibrary.org/GroupedWork/d6624f73-1d4d-eb10-52b3-e0fa99156372-eng,"Happily ever after: the romance story in popular culture","Roach, Catherine M., 1965-",9780253020444,,"Indiana University Press",2016,Bloomington,eBook;Book,"Book::Central: 813.085 R628 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2d14eb09-64cf-d88d-a0a7-c6baafd79758-eng,"The happily ever after: a memoir of an unlikely romance novelist","Steinberg, Avi",9780385540254,,"Books on Tape; Nan A. Talese/Doubleday",2020,"New York",eAudiobook;Book,"Book::Central: 809.3953 S819 2020 - On Shelf,Book::Pocket-Greenhaven: 809.3953 S819 2020 - On Shelf,Book::Sylvan Oaks: 809.3953 S819 2020 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3a0d3c14-c23d-6d1a-fb50-8d0a82053410-eng,"A Tokyo romance: a memoir","Buruma, Ian",9781101981412,,"Books on Tape; Penguin Publishing Group; Penguin Press",2018,"New York",eAudiobook;Book;eBook,"Book::Carmichael: 791.0952 B974 2018 - On Shelf,Book::Central: 791.0952 B974 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/3b7c8a7c-6cbe-fe1e-9e3a-d482ffdf9d21-eng,"Bad land: an American romance","Raban, Jonathan",9780679759065,,"Knopf Doubleday Publishing Group; Blackstone Publishing; Pantheon Books; Vintage","1996 - 2022","New York",eBook;Book;eAudiobook,"Book::Carmichael: 978 R112 1996 - On Shelf,Book::Central: 978 R112 1996 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8039edf7-013e-c15b-6cdc-84bc80e6f2c3-eng,"California, its history and romance","McGroarty, John Steven, 1862-1944",,,"Grafton Publishing Company; Grafton Pub. Co","1911 - 1928","Los Angeles",eBook;Book,"Book::Carmichael California Collection: CALIFORNIA 979.4 M147 1928 - Library Use Only,Book::Sacramento Room: SPE 979.4 M147 1928 CAL - Library Use Only,Book::Sacramento Room: SPE 979.4 M147 1911 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/90db3634-bd01-8239-b39e-dfa84cb1c7fd-eng,"Romance fiction: a guide to the genre","Ramsdell, Kristin, 1940-",9781563083358,,"Libraries Unlimited",1999,"Englewood, Colo",Book,
https://catalog.saclibrary.org/GroupedWork/6c4f3595-86ec-12cf-0feb-e6c0c8846e54-eng,"The scientists: a family romance","Roth, Marco, 1974-",9780374210281,,"Farrar, Straus and Giroux; Farrar, Straus, and Giroux; Blackstone Publishing","2012 - 2013","New York",eBook;Book;eAudiobook,"Book::Carmichael: 362.19697 R845 2012 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5115b914-255f-9604-403f-8a11c7602fd0-eng,"Truer than true romance: classic love comics retold!","Martinet, Jeanne, 1958-",9780823084388,,"Watson-Guptill Publications",2001,"New York",Book,"Book::North Natomas: 741.5973 M385 2001 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/982b9051-cc3d-a601-5bff-68046691d942-eng,"Romance of the three kingdoms: Volume II","Luo, Guanzhong, approximately 1330-approximately 1400",9780804834681,,"Tuttle Pub",2002,Boston,Book,
https://catalog.saclibrary.org/GroupedWork/6a1c1031-0bf8-4aab-da09-adc70cb2cf50-eng,"Love, fiercely: a gilded age romance","Zimmerman, Jean",9780151014477,,"Houghton Mifflin Harcourt",2012,Boston,eBook;Book,"Book::Central: 974.7041 S874zz 2012 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/5b47f979-91d4-9ca5-dc2e-73341e1b18a4-eng,"Almost romance: a memoir","Balbirer, Nancy",9781542022828,,"Little A",2022,"New York",Book,"Book::Arcade: 306.8 B172 2022 - On Shelf,Book::Central: 306.8 B172 2022 - On Shelf,Book::Galt: 306.8 B172 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2403d652-7024-a1d6-668b-571f012e7320-eng,"No fault: a memoir of romance and divorce","Mlotek, Haley",9781984879080,,"Viking; Penguin Publishing Group; Books on Tape",2025,"New York, NY",eAudiobook;Book;eBook,"Book::Central: 306.89 M685 2025 - On Shelf,Book::Colonial Heights: 306.89 M685 2025 - On Shelf,Book::Belle Cooledge: 306.89 M685 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/0901269c-e2b6-0b44-48d5-192b5f138482-eng,"Something to remember you by: a perilous romance","Wilder, Gene, 1935-",9780312598914,,"St. Martin's Press",2013,"New York",Book,"Book::Central: FICTION Wilder, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a78b297a-029b-9016-923a-25a534d9f819-eng,"Romance of the sea","Parry, J. H. (John Horace), 1914-1982",9780870443466,,"National Geographic Society",1981,"Washington, D.C",Book,
https://catalog.saclibrary.org/GroupedWork/6c8fd76f-2a66-d227-d0e1-0d77232a2d9a-eng,"Shakespeare's vast romance: a study of The winter's tale","Frey, Charles H",9780826202864,,"University of Missouri Press",1980,Columbia,Book,"Book::Central: 822.33 R4F893 1980 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/08105f88-beb2-c50e-f93b-89ab821da113-eng,"Late romance: Anthony Hecht, a poet's life","Yezzi, David",9781250016584,,"St. Martin's Press; St. Martin's Publishing Group",2023,"New York",eBook;Book,"Book::Pocket-Greenhaven: BIOGRAPHY Hecht, A. 2023 - On Shelf,Book::Rancho Cordova: BIOGRAPHY Hecht, A. 2023 - On Shelf,Book::Sylvan Oaks: BIOGRAPHY Hecht, A. 2023 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/587dae5f-aeaf-3db7-6508-c06f699ee4e7-eng,"Living with a dead language: my romance with Latin","Patty, Ann",9781101980224,,"Viking; Penguin Publishing Group",2016,"New York, New York",eBook;Book,"Book::Central: 477 P322 2016 - On Shelf,Book::Belle Cooledge: 477 P322 2016 - On Shelf,Book::McKinley: 477 P322 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d0e526cd-85f2-3ef0-b7be-8c2cb2155734-eng,"A thousand days in Venice: an unexpected romance","De Blasi, Marlena",9781565123212,,"Algonquin Books of Chapel Hill; Algonquin Books",2002,"Chapel Hill, N.C",eBook;Book,"Book::Central: 945.31 D286 2002 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/25ce678d-7859-086b-ce90-2a37a4cb49c0-eng,"Arthur, King of Britain: history, chronicle, romance & criticism","Brengle, Richard L",9780130492708,,Prentice-Hall,1964,"Englewood Cliffs, N.J",Book,"Book::Central: 820.9351 B837 1964 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/4d762650-762a-357b-6cad-5ac2f4e5f905-eng,"Black love matters: real talk on romance, being seen, and happily ever afters",,9780593335772,,Berkley,2022,"New York",Book,"Book::Carmichael: 813.085098 P973 2022 - On Shelf,Book::Central: 813.085098 P973 2022 - On Shelf,Book::Colonial Heights: 813.085098 P973 2022 - Checked Out"
https://catalog.saclibrary.org/GroupedWork/282b590f-a223-4aca-e3e3-1457a313bfa0-eng,"The romance of risk: why teenagers do the things they do","Ponton, Lynn E",9780465070756,,BasicBooks,1997,"New York",Book,
https://catalog.saclibrary.org/GroupedWork/090fedd1-d367-8b61-bbed-0dda7599a0ec-eng,"Endymion: a poetic romance","Keats, John, 1795-1821",,,"Project Gutenberg; Golden Cockerel Press",1947,[London],eBook;Book,"Book::Sacramento Room: SPE f 090 G618 1947k BAC - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/121cc7e7-1727-6995-a825-9f29334e2cd4-eng,"When the Earth was green: plants, animals, and evolution's greatest romance","Black, Riley",9781250288998,,"St. Martin's Press; St. Martin's Publishing Group; Macmillan Audio",2025,"New York",eAudiobook;Book;eBook,"Book::Central: 561.1 B627 2025 - On Shelf,Book::Colonial Heights: 561.1 B627 2025 - On Shelf,Book::Belle Cooledge: 561.1 B627 2025 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bba91e5b-c980-2bc0-0e2e-03052ea44e59-eng,"Mary Shelley: romance and reality","Sunstein, Emily W",9780316822466,,"Little, Brown",1989,Boston,Book,"Book::Central: 823 S545zs3 1989 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f0d07dc1-6cae-208c-42f8-d23c44726038-eng,"Flowers of our lost romance","Lummis, Charles Fletcher, 1859-1928",,,"Houghton Mifflin",1929,Boston,Book,"Book::Carmichael California Collection: CALIFORNIA 814.4 L958 1929 - Library Use Only,Book::Sacramento Room: SPE 814.4 L958 1929 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/d5e8adb1-d74b-fe69-ec57-f31e3c771ba4-eng,"The romance of mountaineering","Irving, R. L. G. (Robert Lock Graham), 1877-1969",,,"E. P. Dutton",1935,"New York",Book,
https://catalog.saclibrary.org/GroupedWork/19b2ed7d-058b-4c90-96f5-d455ffdae28a-eng,"Inner City Romance","Colwell, Guy, 1945-",9781606998137,,"Fantagraphics Books, Inc",2015,"Seattle, WA","Graphic Novel/Manga","Graphic Novel/Manga::Sylvan Oaks: GRAPHIC NOVEL Coldwell, G. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f5436351-8a3b-2896-1f50-71a815ee4371-eng,"Love in the time of self-publishing: how romance writers changed the rules of writing and success","Larson, Christine, 1968-",9780691217406,,"Princeton University Press",2024,"Princeton, New Jersey",Book,"Book::Central: 302.23 L334 2024 - On Shelf,Book::North Sacramento-Hagginwood: 302.23 L334 2024 - On Shelf,Book::Southgate: 302.23 L334 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/8a56cbf0-5415-aef1-7a81-e1025df30c6f-eng,"The romance & folklore of North America's railroads",,9780831774622,,Smithmark,1994,"New York",Book,
https://catalog.saclibrary.org/GroupedWork/367ad1ba-d8b4-68c6-f285-7bfccef6df29-eng,"Truly, madly: Vivien Leigh, Laurence Olivier and the romance of the century","Galloway, Stephen (Journalist)",9781538731970,,"Blackstone Audio; Grand Central Publishing",2022,"[Ashland, Oregon]; New York","Audiobook - CD;Book;eBook","Book::Carmichael: 792.028 G174 2022 - On Shelf,Book::Central: 792.028 G174 2022 - On Shelf,Book::Belle Cooledge: 792.028 G174 2022 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/268d434e-759f-6534-d447-50b326403832-eng,"The Vegas diaries: romance, rolling the dice, and the road to reinvention","Madison, Holly",9780062457042,,"HarperCollins; Dey Street, an imprint of WilliamMorrowPublishers; HarperAudio",2016,"New York, NY",eAudiobook;eBook;Book,"Book::Central: 791.45028 M182v 2016 - On Shelf,Book::McKinley: 791.45028 M182v 2016 - On Shelf,Book::Valley Hi-North Laguna: 791.45028 M182v 2016 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/96371203-8f32-4a33-d510-87f518ee8b8e-eng,"Fanny Stevenson: a romance of destiny","Lapierre, Alexandra",9780786701278,,"Carroll & Graf",1995,"New York",Book,"Book::Central: 823 S848zL 1995 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/9e097c21-4e27-9ca9-4fbe-4cdd766abf59-eng,"On higher ground: a postmodern romance","Holt, Tim, 1948-",9780914485193,,"Suttertown Publishing",2000,"Dunsmuir, CA (P.O. Box 214 96025)",Book,"Book::Sacramento Room: FICTION Holt, T. SAA - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/abe30614-40cf-f30c-d2e6-cde84c6c0c1e-eng,Romances,"Shakespeare, William, 1564-1616",9780679454878,,"Distributed by Random House; Knopf",1996,"New York",Book,
https://catalog.saclibrary.org/GroupedWork/b0c07bf9-e0ad-abb1-24d7-da57a0b1b2c7-eng,"America last: the Right's century-long romance with foreign dictators","Heilbrunn, Jacob",9781324094661,,"Tantor Media, Inc.; Liveright Publishing Corporation, a division of W.W. Norton & Company",2024,"New York, NY",Book;eAudiobook,"Book::Arcade: 320.5 H466 2024 - On Shelf,Book::Central: 320.5 H466 2024 - On Shelf,Book::Elk Grove: 320.5 H466 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/2a8a0928-6a5a-1415-b148-46d8ca1d8073-eng,"The art and the romance of Indian basketry","Field, Clark",,,"Philbrook Art Center",1964,"Tulsa, Okla",Book,"Book::Sacramento Room: SPE 746.412 F453 1964 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/d7d27371-67df-5f3c-9b4c-679c93a9f543-eng,"Love, again: the wisdom of unexpected romance","Pell, Eve",9780804176460,,"Ballantine Books",2015,"New York",Book,"Book::Central: 306.70846 P385 2015 - On Shelf,Book::Southgate: 306.70846 P385 2015 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b40171e6-9f67-1685-cfad-042cafa64d3f-eng,"Family romance: John Singer Sargent and the Wertheimers","Strouse, Jean, 1945-",9780374615673,,"Farrar, Straus and Giroux",2024,"New York",Book,"Book::Carmichael: 759.13 S925 2024 - On Shelf,Book::Central: 759.13 S925 2024 - On Shelf,Book::Colonial Heights: 759.13 S925 2024 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/1c9533b5-2ebd-cae0-de49-e13771290ba2-eng,"Swipe right: the life-and-death power of sex and romance","Lusko, Levi",9780718035839,,"W Publishing, an imprint of Thomas Nelson; Thomas Nelson",2017,"Nashville, Tennessee",eAudiobook;eBook;Book,
https://catalog.saclibrary.org/GroupedWork/6526ed7b-c3df-9378-ce13-9786a5ca4ffb-eng,"Alexandre Dumas, the king of romance","Hemmings, F. W. J. (Frederick William John), 1920-",9780684163918,,Scribner,1979,"New York",Book,"Book::Fair Oaks: BIOGRAPHY Dumas, A. 1979 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/e53ac111-ab7f-d920-1e7d-101dd16886ff-eng,"The romance and reality of ranching: stories of, by & for cowboys & sheepherders",,9780974456300,,"Purple Coyote Corp; Range Magazine",2003,"Carson City, Nev",Book,
https://catalog.saclibrary.org/GroupedWork/6dd309ff-4153-6b0f-d95c-31274be79048-eng,"Enemies in love: a German POW, a Black nurse, and an unlikely romance","Clark, Alexis",9781620971864,,"Highbridge Company; HighBridge; The New Press",2018,"New York",eBook;eAudiobook;Book,"Book::Central: 973 C592 2018 - On Shelf,Book::Elk Grove: 973 C592 2018 - On Shelf,Book::Rancho Cordova: 973 C592 2018 - On Shelf"
https://catalog.saclibrary.org/GroupedWork/61b45241-2355-719b-5c6a-2cf8cd2c2eb9-eng,"The lure of San Francisco: a romance amid old landmarks","Potter, Elizabeth Gray",,,"Project Gutenberg; P. Elder & Co",1915,"San Francisco",eBook;Book,"Book::Sacramento Room: SPE 979.461 P866 1915 CAL - Library Use Only"
https://catalog.saclibrary.org/GroupedWork/8c6736e6-6c76-c89c-0571-5451b46f83da-eng,"Keanu Reeves is not in love with you: the murky world of online romance fraud","Holmes, Becky",9781789651638,,"Tantor Media, Inc.; Tantor Media, Inc; Unbound",2024,London,eAudiobook;Book,"Book::Central: 364.163 H749 2024 - On Shelf,Book::South Natomas: 364.163 H749 2024 - On Shelf,Book::Orangevale: 364.163 H749 2024 - On Shelf"
