Link,Title,Author,ISBN,UPC,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://catalog.saclibrary.org/GroupedWork/0516d9dc-6d25-09b0-4e51-894a81a73613-spa,"Animales fantásticos y dónde encontrarlos: guión original de la película","Rowling, J. K",9788498387902,,"Salamandra; Pottermore Publishing",2017,Barcelona,eBook;Book,"Book::Central Kids Place - Lower Level: SPANISH CHILDREN 822.914 R884 2017 - On Shelf,Book::Sacramento Public Library Storage: SPANISH CHILDREN 822.914 R884 2017 - On Hold Shelf"
https://catalog.saclibrary.org/GroupedWork/8c5ac84e-2910-f3fb-b6b9-0ffa546fb7c0-spa,"Secreto oscuro","Feehan, Christine",9788496711624,,"Ediciones Urano; Titania Editores",2009,"Argentina; Barcelona",Book,"Book::Central: SPANISH FICTION Feehan, C. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/b796743a-0e6d-1749-edb5-b9ddb7d5fa2c-spa,"Seis de cuervos","Bardugo, Leigh",9788416387588,,"BookaVivo; Hidra","2016 - 2024","[Place of publication not identified]",eAudiobook;Book,
https://catalog.saclibrary.org/GroupedWork/aa777bff-32d0-42f0-fbea-ec57e0f758b5-spa,"Alicia en el país de las maravillas","Carroll, Lewis, 1832-1898",9788491050742,,"ANAYA INFANTIL Y JUVENIL; Penguin Clásicos; Rosetta Edu; Knopf Doubleday Publishing Group; Lebooks Editora; Ecos Eternos; Laberinto; Letra Impresa; Ediciones Akal; Audiolibros Colección; Ediciones Rialp, S.A.","2003 - 2024",Barcelona,eBook;Book;eAudiobook,"Book::Central: SPANISH FICTION Carroll, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/122c85a6-878d-fb26-d027-0771a5b6e6de-spa,"Los viajes de Gulliver","Swift, Jonathan, 1667-1745",9788418008955,,"Anders Producciones; Molino","2021 - 2022","Barcelona; Spain",Book,"Book::Arcade Children's Area: SPANISH CHILDREN FICTION Swift, J. - On Shelf,Book::Central Kids Place - Lower Level: SPANISH CHILDREN FICTION Swift, J. - On Shelf,Book::Courtland Children's Area: SPANISH CHILDREN FICTION Swift, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/bc34f9c7-c7cc-60ae-3eed-694dc514db60-spa,"Cuentos inconclusos de Númenor y la Tierra Media","Tolkien, J. R. R. (John Ronald Reuel), 1892-1973",9786070787836,,"Minotauro/Editorial Planeta Mexicana",2022,"Ciudad de México",Book,"Book::Arcade: SPANISH FICTION Tolkien, J. - On Shelf,Book::Central: SPANISH FICTION Tolkien, J. - On Shelf,Book::Belle Cooledge: SPANISH FICTION Tolkien, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/d1d52082-c82e-5d50-992e-0f3bc3a38a79-spa,"La efeba salvaje","Velázquez, Carlos, 1978-",9786075579498,,"Océano; Sexto Piso","2017 - 2025","Estado de México; Ciudad de México",Book,"Book::Arcade: SPANISH FICTION Velazquez, C. - OFF CAMPUS,Book::Central New Books - 4th Floor: SPANISH FICTION Velazquez, C. - On Shelf,Book::Elk Grove Opening Day Collection: ON ORDER - On Order"
https://catalog.saclibrary.org/GroupedWork/f0dcaa5e-457f-742d-c4ea-0f6b18b322cb-spa,"Insólitas: narradoras de lo fantástico en Latinoamérica y España",,9788483932544,,"Páginas de Espuma",2019,Madrid,Book,"Book::Arcade: SPANISH FICTION Insolitas - On Shelf,Book::Elk Grove: SPANISH FICTION Insolitas - On Shelf,Book::Isleton: SPANISH FICTION Insolitas - On Shelf"
https://catalog.saclibrary.org/GroupedWork/f6dc772e-ad4b-b20b-0826-727a3e37239d-spa,"El metal perdido","Sanderson, Brandon",9788418037733,,"Nova; Penguin Random House Audio","2022 - 2025",Barcelona,eAudiobook;Book,"Book::Central: SPANISH FICTION Sanderson, B. - On Shelf,Book::Colonial Heights: SPANISH FICTION Sanderson, B. - On Shelf,Book::Sacramento Public Library Storage: SPANISH FICTION Sanderson, B. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/505e3901-3221-5117-af7e-169d63e9a8f6-spa,"El bosque magico","Grossman, Lev",9788498728101,,"Ediciones B",2013,Barcelona,Book,"Book::Central: SPANISH FICTION Grossman, L. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/a4ba1b67-c2ad-24cb-a9d4-d48b4d4ca956-spa,"Cuentos desde el reino peligroso","Tolkien, J. R. R. (John Ronald Reuel), 1892-1973",9786070701368,,Minotauro,2009,Barcelona,Book,"Book::Central: SPANISH FICTION Tolkien, J. - On Shelf"
https://catalog.saclibrary.org/GroupedWork/18153a4a-0d59-bd44-bed2-1192ae6bab1b-spa,"Madera de savia azul","Gil Soto, José L., 1972-",9788466665353,,B,2019,Barcelona,Book,"Book::Sylvan Oaks: SPANISH FICTION Gil Soto, J. - On Shelf"
